Year,Name,Female,Male
1882,Nicholas,0,66
1882,Austin,0,65
1882,Marvin,0,64
1882,Asa,0,62
1882,Nathaniel,0,57
1882,Joel,0,54
1882,Riley,0,54
1882,Emery,0,53
1882,Vernon,0,53
1882,Andy,0,51
1882,Glenn,0,51
1882,Joshua,0,50
1882,Christian,0,49
1882,Donald,0,48
1882,Scott,0,48
1882,Don,0,46
1882,Marcus,0,46
1882,Tony,0,46
1882,Van,0,46
1882,Jerome,0,43
1882,Ezra,0,41
1882,Julian,0,41
1882,Chris,0,39
1882,Juan,0,39
1882,Emory,0,38
1882,Vincent,0,38
1882,Mitchell,0,36
1882,Elisha,0,35
1882,Loren,0,35
1882,Spencer,0,33
1882,Carroll,0,32
1882,Douglas,0,32
1882,Roger,0,32
1882,Antonio,0,29
1882,Pat,0,28
1882,Dallas,0,27
1882,Glen,0,27
1882,Jonathan,0,27
1882,Lynn,0,27
1882,Madison,0,27
1882,Royal,0,27
1882,Taylor,0,27
1882,Morgan,0,24
1882,Israel,0,22
1882,Johnie,0,22
1882,Kenneth,0,22
1882,Steven,0,22
1882,Wayne,0,22
1882,Addison,0,21
1882,Elliott,0,21
1882,Billie,0,20
1882,Carlos,0,20
1882,Gabriel,0,20
1882,Jason,0,20
1882,Sol,0,20
1882,Sandy,0,19
1882,Valentine,0,19
1882,Adrian,0,18
1882,Carey,0,18
1882,Logan,0,17
1882,Aubrey,0,16
1882,Johnny,0,16
1882,Sterling,0,16
1882,Troy,0,16
1882,Clair,0,15
1882,Emerson,0,15
1882,Gerald,0,15
1882,Palmer,0,15
1882,Raleigh,0,15
1882,Avery,0,14
1882,Bennett,0,14
1882,Carson,0,14
1882,Finley,0,14
1882,Jesus,0,14
1882,Larkin,0,14
1882,Micheal,0,14
1882,Parker,0,14
1882,Randall,0,14
1882,Blaine,0,13
1882,Jules,0,13
1882,Kelly,0,13
1882,Luis,0,13
1882,Shelby,0,13
1882,Evan,0,12
1882,Garnett,0,12
1882,Jordan,0,12
1882,Mason,0,12
1882,Rodney,0,12
1882,Bernie,0,11
1882,Drew,0,11
1882,Lacy,0,11
1882,Paris,0,11
1882,Quincy,0,11
1882,Gary,0,10
1882,Hunter,0,10
1882,Merrill,0,10
1882,Noel,0,10
1882,Otha,0,10
1882,Sydney,0,10
